dataset	Study	method	label	pos_degree	neg_degree	clust_memb	degree	between	close	eigenv	is_hub	Prevalence	TotalAbundance	min_rel_ab	max_rel_ab	domain	phylum	class	order	family	genus	species	relAbundance	pass_filters	relprev	label2
ST106_FMBN_ps	ST106	spieceasi	Brachybacterium	0	0	0	0	0	0	0	FALSE	8	193	0	0.01714083760381693	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	NA	0.0014996464564053552	T	0.26666666666666666	Brachybacterium
ST106_FMBN_ps	ST106	spieceasi	Brevibacterium	0	0	0	0	0	0	0	FALSE	10	642	0	0.047004771160982506	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA	0.004988461269493461	T	0.3333333333333333	Brevibacterium
ST106_FMBN_ps	ST106	spieceasi	Enterococcus	0	0	0	0	0	0	0	FALSE	9	114	0	0.00817810086324398	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	8.858015338352876e-4	T	0.3	Enterococcus
ST106_FMBN_ps	ST106	spieceasi	Halomonas	0	0	0	0	0	0	0	FALSE	4	199	0	0.028096836896978266	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA	0.0015462675897651072	T	0.13333333333333333	Halomonas
ST106_FMBN_ps	ST106	spieceasi	Lactobacillus complex	1	0	1	0.09090909090909091	0	1	1	FALSE	20	16203	0	0.6238073602907769	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus complex	NA	0.1259003706380102	T	0.6666666666666666	Lactobacillus complex
ST106_FMBN_ps	ST106	spieceasi	Lactobacillus	0	0	0	0	0	0	0	FALSE	9	1295	0	0.06863084922010398	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	0.010062394616813134	T	0.3	Lactobacillus
ST106_FMBN_ps	ST106	spieceasi	Lactococcus	0	0	0	0	0	0	0	FALSE	22	88195	0	0.9990493166963755	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA	0.6852918094438876	T	0.7333333333333333	Lactococcus
ST106_FMBN_ps	ST106	spieceasi	Lentilactobacillus	0	0	0	0	0	0	0	FALSE	10	247	0	0.02541954590325765	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	NA	0.001919236656643123	T	0.3333333333333333	Lentilactobacillus
ST106_FMBN_ps	ST106	spieceasi	Loigolactobacillus	0	0	0	0	0	0	0	FALSE	3	60	0	0.0076605774896876845	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	NA	4.6621133359751974e-4	T	0.1	Loigolactobacillus
ST106_FMBN_ps	ST106	spieceasi	Staphylococcus	0	0	0	0	0	0	0	FALSE	17	502	0	0.030865630076583894	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	0.003900634824432582	T	0.5666666666666667	Staphylococcus
