label	Prevalence	TotalAbundance	min_rel_ab	max_rel_ab	domain	phylum	class	order	family	genus	species	relAbundance	pass_filters	relprev
Lactobacillus complex	67	1068959	0.23723548825470783	0.957185262204632	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus complex	NA	0.8047426682044441	T	1
Lactobacillus	67	140051	0.005213074058750517	0.644292370413512	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	0.1054343669165053	T	1
Streptococcus	67	77747	0.002390175554273469	0.5179147703764998	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	0.05853014776515368	T	1
Acinetobacter	55	5445	0	0.028838702535148898	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	0.004099150508460285	T	0.8208955223880597
Chryseobacterium	53	6286	0	0.08466127935956498	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NA	0.004732279172852407	T	0.7910447761194029
Lactococcus	46	10257	0	0.23885271573394873	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA	0.007721760654780008	T	0.6865671641791045
Pseudomonas	41	1444	0	0.007847053787986873	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	0.0010870841752464008	T	0.6119402985074627
Lacticaseibacillus	29	5328	0	0.049843260188087775	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	NA	0.004011069588443783	T	0.43283582089552236
Enhydrobacter	26	457	0	0.006068142253170853	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	NA	3.440425679277044e-4	T	0.3880597014925373
Turicibacter	23	388	0	0.0018880749188127785	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	NA	2.920974099692545e-4	F	0.34328358208955223
Staphylococcus	21	548	0	0.00304953432786615	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	4.1254995016276147e-4	F	0.31343283582089554
Brochothrix	21	171	0	6.542361792607131e-4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Brochothrix	NA	1.287336523318106e-4	F	0.31343283582089554
Enterobacter	19	463	0	0.003329499364368303	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA	3.485595381849609e-4	F	0.2835820895522388
Leuconostoc	17	263	0	0.0028848545138025366	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	NA	1.9799386294307714e-4	F	0.2537313432835821
Macrococcus	14	412	0	0.005790246289349209	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Macrococcus	NA	3.1016529099828054e-4	T	0.208955223880597
Pediococcus	13	3453	0	0.04155390444324165	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	NA	0.002599516383051123	T	0.19402985074626866
Lelliottia	13	228	0	0.0020657092268345466	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lelliottia	NA	1.7164486977574748e-4	F	0.19402985074626866
Citrobacter	11	349	0	0.002845208547732914	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	NA	2.6273710329708717e-4	F	0.16417910447761194
Porphyromonas	7	1449	0	0.060810810810810814	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA	0.0010908483171274477	T	0.1044776119402985
Psychrobacter	7	72	0	5.968664511315593e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	NA	5.420364308707815e-5	F	0.1044776119402985
Enterococcus	7	56	0	9.817989577826447e-4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	4.215838906772745e-5	F	0.1044776119402985
Lentilactobacillus	6	882	0	0.01817203658317891	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	NA	6.639946278167074e-4	T	0.08955223880597014
Rhodanobacter	6	50	0	5.607738679377541e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	NA	3.764141881047094e-5	F	0.08955223880597014
Lysinibacillus	6	38	0	4.918355301987016e-4	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	NA	2.8607478295957913e-5	F	0.08955223880597014
Bacteroides	5	1084	0	0.04572290737339281	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	8.1606595981101e-4	T	0.07462686567164178
Escherichia/Shigella	5	591	0	0.007932621682499266	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	NA	4.449215703397665e-4	T	0.07462686567164178
Neoscardovia	5	61	0	8.422289687591813e-4	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Neoscardovia	NA	4.592253094877455e-5	F	0.07462686567164178
Aerococcus	5	40	0	4.0385683275278916e-4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	NA	3.0113135048376752e-5	F	0.07462686567164178
Algoriella	5	25	0	6.305965443309371e-4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Algoriella	NA	1.882070940523547e-5	F	0.07462686567164178
