label	Prevalence	TotalAbundance	min_rel_ab	max_rel_ab	domain	phylum	class	order	family	genus	species	relAbundance	pass_filters	relprev
Streptococcus	63	1050843	0.022116808169924767	0.8653719792655326	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	0.44794398797915536	T	1
Lactococcus	61	872309	0	0.8407259528130672	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA	0.3718401057152296	T	0.9682539682539683
Lactobacillus complex	51	179683	0	0.32635505481120586	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus complex	NA	0.07659366774300116	T	0.8095238095238095
Loigolactobacillus	42	48234	0	0.1684243830415524	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	NA	0.02056075961507721	T	0.6666666666666666
Secundilactobacillus	41	114091	0	0.3505453666495453	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	NA	0.048633694598079646	T	0.6507936507936508
Escherichia/Shigella	21	209	0	8.364409437841983e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	NA	8.909065720344854e-5	F	0.3333333333333333
Lactobacillus	13	75356	0	0.20179372197309417	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	0.03212208403934482	T	0.20634920634920634
Paucilactobacillus	11	3180	0	0.013233554351115635	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	NA	0.0013555420569711309	T	0.1746031746031746
Staphylococcus	6	548	0	0.005075504409658534	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	2.3359655572961625e-4	T	0.09523809523809523
Bacillus	5	33	0	2.5126259453755117e-4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	1.4066945874228716e-5	F	0.07936507936507936
Latilactobacillus	2	490	0	0.005707876870080711	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	NA	2.0887283267794155e-4	F	0.031746031746031744
Bacteroides	2	417	0	0.010135037862428378	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	1.7775504331979923e-4	F	0.031746031746031744
Ruminiclostridium	2	123	0	0.002735308514007659	Bacteria	Firmicutes	Clostridia	Clostridia or	Hungateiclostridiaceae	Ruminiclostridium	NA	5.2431343713034305e-5	F	0.031746031746031744
Parasutterella	2	97	0	0.0021594540900060463	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	NA	4.1348295448490466e-5	F	0.031746031746031744
