dataset	method	nComp1	avDiss1	avPath1	clustCoef1	modularity1	vertConnect1	edgeConnect1	natConnect1	density1	pep1	nnodes	ntaxa	nposedge	nnegedge	obj_type	target	region	platform	samples	type	Observed	Chao1	Shannon	Pielou_J	ave_BC
ST106_FMBN_ps	spieceasi	11	0.9955622239573719	0.7102587504533764	NA	0	0	0	0.10585017806016736	0.01515151515151515	100	2	12	1	0	FMBN	16S RNA	V1-V3	454 GS FLX Titanium	30	cs (1)	12	12	0.9521217536330746	0.3831619806379064	0.5358206379202406
ST106_FMBN_ps	sparcc	1	0.6287002845647266	1.310304781105433	0.7356313533094793	0.246097337006428	2	3	0.35482642552277865	0.5	94.11764705882352	12	12	32	2	FMBN	16S RNA	V1-V3	454 GS FLX Titanium	30	cs (1)	12	12	0.9521217536330746	0.3831619806379064	0.5358206379202406
ST106_FMBN_ps	ccrepe	7	0.9477497600832014	0.7504578205653558	0.7140427279418236	0.04938271604938266	0	0	0.12770281500161532	0.13636363636363635	55.55555555555556	6	12	5	4	FMBN	16S RNA	V1-V3	454 GS FLX Titanium	30	cs (1)	12	12	0.9521217536330746	0.3831619806379064	0.5358206379202406
ST110_FMBN_ps	spieceasi	7	0.9781799968377265	1.0430535157777274	0	0.693877551020408	0	0	0.0915987081692181	0.07692307692307693	42.857142857142854	4	14	3	4	FMBN	16S RNA gene	V3-V4	Illumina MiSeq	112	mx (3)	14	14	1.4075158259733336	0.5333403750567752	0.5077283634795143
ST110_FMBN_ps	spring	1	0.9217342361432959	1.6510368680949636	0.34062254185483853	0.33780991735537186	2	2	0.10409340831918557	0.24175824175824176	68.18181818181817	14	14	15	7	FMBN	16S RNA gene	V3-V4	Illumina MiSeq	112	mx (3)	14	14	1.4075158259733336	0.5333403750567752	0.5077283634795143
ST110_FMBN_ps	sparcc	1	0.8179443861255046	1.3479743867688787	0.3748351071857276	0.1611570247933884	2	2	0.20655696888178093	0.3626373626373626	56.09756097560976	14	14	23	18	FMBN	16S RNA gene	V3-V4	Illumina MiSeq	112	mx (3)	14	14	1.4075158259733336	0.5333403750567752	0.5077283634795143
ST110_FMBN_ps	ccrepe	1	0.8772033435613432	1.3955606357246242	0.5938517821118038	0.3069719042663891	1	1	0.12675880084782254	0.34065934065934067	58.06451612903226	14	14	18	13	FMBN	16S RNA gene	V3-V4	Illumina MiSeq	112	mx (3)	14	14	1.4075158259733336	0.5333403750567752	0.5077283634795143
ST115_FMBN_ps	spieceasi	7	0.9895395278995196	0.714581642521661	NA	0	0	0	0.17071738847680681	0.03571428571428571	0	2	8	0	1	FMBN	16S RNA gene	V4	Illumina MiSeq	63	cs (1)	8	8	1.272833405297984	0.6121034805670712	0.46125959794630433
ST115_FMBN_ps	spring	1	0.9217342361432959	1.6510368680949636	0.34062254185483853	0.33780991735537186	2	2	0.10409340831918557	0.24175824175824176	68.18181818181817	14	14	15	7	FMBN	16S RNA gene	V4	Illumina MiSeq	63	cs (1)	8	8	1.272833405297984	0.6121034805670712	0.46125959794630433
ST115_FMBN_ps	sparcc	1	0.31241037238637925	1.6208457571933947	0.8727025653562254	0.018903591682419674	4	4	0.6587654780903178	0.8214285714285714	92	8	8	23	2	FMBN	16S RNA gene	V4	Illumina MiSeq	63	cs (1)	8	8	1.272833405297984	0.6121034805670712	0.46125959794630433
